frame,track_id,x1,y1,x2,y2
0,0,1022,310,1069,461
0,1,314,291,363,369
0,2,1198,350,1249,516
0,3,280,304,322,379
0,4,250,303,288,387
0,5,25,247,38,295
0,6,36,269,51,312
1,0,1022,309,1068,461
1,1,314,289,363,369
1,2,1196,350,1250,516
1,3,280,304,322,379
1,4,250,303,288,387
1,5,25,248,38,295
1,6,36,269,51,312
2,0,1021,309,1066,461
2,1,314,290,363,369
2,2,1196,351,1249,514
2,3,280,304,322,379
2,4,250,303,288,387
2,5,25,248,39,295
2,6,36,268,51,307
2,7,25,247,50,300
2,8,26,248,38,274
3,0,1020,309,1064,461
3,1,314,290,363,369
3,2,1196,350,1250,515
3,3,280,304,322,379
3,4,250,303,288,387
3,5,25,248,39,296
3,6,36,268,51,310
3,7,25,247,50,303
3,8,26,248,38,273
4,0,1018,309,1062,462
4,1,314,290,363,369
4,2,1196,350,1250,516
4,3,280,304,322,379
4,4,250,303,288,387
4,5,26,248,39,296
4,6,36,268,51,311
4,7,26,248,50,306
4,8,26,248,38,273
5,0,1014,309,1060,462
5,1,314,290,363,369
5,2,1196,350,1250,517
5,3,280,304,322,379
5,4,250,303,288,387
5,5,26,248,39,296
5,6,36,268,51,312
5,7,26,248,50,307
5,8,26,248,38,273
6,0,1011,309,1057,461
6,1,314,291,363,369
6,2,1196,350,1250,517
6,3,280,304,322,379
6,4,250,303,288,387
6,5,26,248,39,296
6,6,36,268,51,312
6,7,26,248,50,307
6,8,26,248,38,273
7,0,1007,309,1054,462
7,1,313,291,363,369
7,2,1196,350,1250,517
7,3,280,304,322,379
7,4,251,303,288,387
7,5,26,248,39,296
7,6,36,268,51,313
7,7,26,248,50,308
7,8,26,248,38,273
8,0,1004,310,1052,461
8,1,313,291,363,369
8,2,1196,350,1250,517
8,3,280,304,322,379
8,4,251,303,288,387
8,5,26,248,39,296
8,6,36,268,51,313
8,7,26,248,50,308
8,8,26,248,38,273
9,0,993,311,1048,461
9,1,313,291,363,369
9,2,1196,351,1250,518
9,3,280,304,323,379
9,4,251,303,289,387
9,6,35,268,50,313
9,8,26,247,39,274
10,0,982,311,1044,462
10,1,313,291,363,369
10,2,1196,353,1251,518
10,3,280,304,323,379
10,4,251,303,289,387
10,6,34,267,50,314
10,8,27,246,39,274
11,0,974,312,1041,463
11,1,313,290,363,369
11,2,1196,355,1251,518
11,3,280,304,323,379
11,4,251,303,289,386
11,6,33,267,50,314
11,8,27,245,39,275
12,0,968,313,1038,463
12,1,313,289,363,369
12,2,1196,357,1251,518
12,3,280,303,323,379
12,4,251,303,289,386
12,6,33,267,49,314
12,8,27,245,39,275
13,0,963,314,1037,464
13,1,313,288,363,369
13,2,1197,358,1251,517
13,3,280,303,323,379
13,4,251,303,290,386
13,6,32,267,49,314
13,8,27,245,39,275
14,0,959,314,1035,464
14,1,313,287,363,369
14,2,1197,359,1251,517
14,3,280,303,323,379
14,4,251,303,290,386
14,6,32,267,49,314
14,8,27,244,39,276
15,0,957,314,1034,465
15,1,313,287,363,369
15,2,1197,359,1251,516
15,3,280,303,323,379
15,4,251,303,290,386
15,6,31,267,49,314
15,8,27,244,39,276
16,0,955,314,1032,465
16,1,313,286,363,369
16,2,1197,359,1251,516
16,3,280,303,323,379
16,4,251,303,290,386
16,6,30,267,49,314
16,8,27,244,39,276
17,0,953,314,1029,465
17,1,313,286,363,369
17,2,1197,359,1251,516
17,3,280,303,323,379
17,4,251,303,290,386
17,6,30,267,49,314
17,8,27,245,39,276
18,0,952,314,1023,466
18,1,313,286,363,369
18,2,1198,358,1251,515
18,3,280,303,323,379
18,4,251,303,290,386
18,6,29,267,49,314
18,8,27,245,39,276
19,0,951,314,1017,466
19,1,313,286,363,369
19,2,1198,357,1251,515
19,3,280,303,323,379
19,4,251,303,290,386
19,6,29,267,49,314
19,8,27,245,39,276
20,0,950,313,1012,466
20,1,313,286,363,369
20,2,1198,356,1251,514
20,3,280,303,323,379
20,4,251,303,290,386
20,6,29,267,49,315
20,8,27,245,39,275
21,0,949,313,1007,466
21,1,314,286,363,369
21,2,1198,355,1251,514
21,3,280,304,323,379
21,4,251,303,290,386
21,6,29,267,49,315
21,8,27,245,39,275
22,0,947,313,1003,467
22,1,314,286,363,369
22,2,1198,353,1251,513
22,3,280,304,323,379
22,4,251,303,290,386
22,6,29,267,49,315
22,8,27,245,39,275
23,0,943,314,998,468
23,1,313,286,363,369
23,2,1198,352,1250,513
23,3,280,304,323,379
23,4,251,303,290,386
23,6,29,267,49,315
23,8,27,246,39,275
24,0,937,314,994,468
24,1,313,287,363,369
24,2,1198,350,1250,512
24,3,280,304,323,379
24,4,251,303,290,386
24,6,29,267,49,315
24,8,27,246,39,275
25,0,930,314,991,469
25,1,313,287,363,369
25,2,1198,349,1250,512
25,3,280,304,323,379
25,4,251,303,290,386
25,6,29,267,49,315
25,8,27,246,39,275
26,0,924,315,988,470
26,1,314,287,363,369
26,2,1198,347,1250,512
26,3,280,304,323,379
26,4,251,303,290,386
26,6,29,268,49,315
26,8,27,247,40,274
27,0,919,315,985,470
27,1,314,287,363,369
27,2,1199,346,1249,511
27,3,280,304,323,379
27,4,251,303,290,386
27,5,1113,342,1138,432
27,6,29,268,49,315
27,8,27,247,40,274
28,0,914,316,983,471
28,1,314,286,363,369
28,2,1199,344,1249,511
28,3,280,304,323,379
28,4,251,303,290,386
28,5,1179,348,1205,440
28,6,28,268,49,316
28,8,27,247,40,274
29,0,911,316,981,471
29,1,314,286,363,369
29,2,1199,343,1249,511
29,3,280,304,323,379
29,4,251,302,289,386
29,5,1217,351,1243,444
29,6,28,268,49,316
29,8,27,247,40,274
30,0,908,316,979,471
30,1,314,286,363,369
30,2,1199,342,1248,511
30,3,280,304,323,379
30,4,251,302,289,386
30,5,1246,353,1272,448
30,6,27,268,49,316
30,8,28,248,40,274
31,0,905,315,974,471
31,1,314,286,363,369
31,2,1199,340,1248,511
31,3,280,304,323,379
31,4,251,302,289,386
31,5,1269,355,1296,451
31,6,27,267,49,316
31,8,28,248,40,274
32,0,903,315,969,472
32,1,314,286,363,369
32,2,1199,339,1248,511
32,3,280,304,323,379
32,4,251,302,289,386
32,5,1290,357,1317,453
32,6,27,267,49,316
32,8,28,248,40,274
33,0,901,315,964,472
33,1,313,286,363,369
33,2,1199,338,1248,511
33,3,280,304,323,379
33,4,251,302,289,386
33,5,1307,359,1335,455
33,6,27,267,49,316
33,8,28,248,40,274
34,0,900,315,958,472
34,1,313,285,363,369
34,2,1199,337,1248,511
34,3,280,304,323,379
34,4,251,302,289,386
34,5,1321,360,1349,457
34,6,26,267,50,317
34,8,28,248,40,274
35,0,898,315,953,472
35,1,313,285,363,369
35,2,1199,337,1248,511
35,3,280,305,323,379
35,4,251,302,289,386
35,5,1332,361,1361,458
35,6,27,267,50,317
35,8,28,248,40,274
36,0,895,314,949,472
36,1,313,285,363,369
36,2,1199,336,1248,511
36,3,280,305,323,379
36,4,251,302,289,386
36,5,1340,361,1371,459
36,6,27,267,50,317
36,8,29,248,40,274
37,0,891,314,945,472
37,1,313,285,363,369
37,2,1199,335,1248,511
37,3,280,305,324,379
37,4,251,302,289,386
37,5,1346,362,1377,459
37,6,27,267,50,317
37,7,1217,448,1258,476
37,8,29,248,40,274
38,0,885,314,941,472
38,1,313,285,363,369
38,2,1199,335,1248,511
38,3,280,305,324,379
38,4,251,302,289,386
38,6,26,267,51,317
38,8,29,249,40,274
39,0,879,314,937,472
39,1,313,285,363,369
39,2,1199,334,1248,511
39,3,280,303,324,379
39,4,251,302,289,386
39,5,1374,363,1406,463
39,6,26,267,51,317
39,7,1264,456,1305,482
39,8,29,249,40,274
40,0,873,314,935,472
40,1,313,285,363,369
40,2,1199,334,1248,511
40,3,280,302,324,379
40,4,251,302,289,386
40,6,26,267,51,317
40,8,29,249,40,274
41,0,868,314,932,472
41,1,313,285,363,369
41,2,1199,334,1248,511
41,3,280,300,324,379
41,4,251,302,289,386
41,5,1386,365,1419,464
